criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
entropy,10,2,6,0.9533333333333334
gini,1,9,1,0.6666666666666666
entropy,5,4,7,0.9466666666666668
entropy,4,2,5,0.9533333333333334
gini,10,7,10,0.9466666666666668
entropy,1,2,5,0.6666666666666666
entropy,5,7,10,0.9466666666666668
entropy,2,6,8,0.9533333333333334
entropy,10,7,6,0.9533333333333334
entropy,10,7,9,0.9466666666666668
gini,6,10,5,0.96
entropy,8,2,3,0.9466666666666668
gini,9,8,1,0.9533333333333334
entropy,10,4,10,0.9466666666666668
entropy,4,3,4,0.9533333333333334
entropy,9,2,7,0.9466666666666668
gini,3,2,3,0.9533333333333334
entropy,9,2,1,0.96
entropy,8,2,10,0.9466666666666668
gini,7,7,6,0.9533333333333334
entropy,5,2,4,0.9533333333333334
gini,8,6,3,0.9533333333333334
gini,10,4,1,0.9533333333333334
gini,4,5,5,0.9533333333333334
gini,2,10,4,0.9533333333333334
entropy,6,6,6,0.9533333333333334
gini,8,2,6,0.9533333333333334
entropy,5,3,1,0.9533333333333334
gini,5,2,2,0.94
gini,10,5,9,0.9466666666666668
entropy,9,4,3,0.9533333333333334
entropy,1,2,6,0.6666666666666666
entropy,2,2,5,0.9533333333333334
entropy,7,2,5,0.96
gini,8,10,7,0.9533333333333334
entropy,1,2,3,0.6666666666666666
entropy,10,5,9,0.9466666666666668
gini,9,2,2,0.94
gini,5,6,1,0.9533333333333334
gini,3,3,8,0.9533333333333334
entropy,7,6,7,0.9466666666666668
entropy,3,4,10,0.9466666666666668
entropy,8,5,5,0.9533333333333334
entropy,6,4,8,0.9466666666666668
entropy,6,2,5,0.9533333333333334
gini,7,2,9,0.9533333333333334
entropy,10,3,3,0.9466666666666668
entropy,7,6,4,0.9533333333333334
entropy,2,2,6,0.9466666666666668
entropy,2,6,3,0.9533333333333334
entropy,9,6,8,0.9466666666666668
entropy,4,5,2,0.94
entropy,5,6,6,0.9533333333333334
entropy,1,3,5,0.6666666666666666
entropy,4,3,7,0.9466666666666668
entropy,10,3,1,0.9533333333333334
entropy,8,8,7,0.9533333333333334
entropy,4,8,4,0.9533333333333334
entropy,4,2,6,0.9533333333333334
gini,3,2,1,0.9533333333333334
entropy,10,6,8,0.9533333333333334
gini,9,6,10,0.9533333333333334
gini,2,6,10,0.9533333333333334
gini,8,5,4,0.9533333333333334
gini,3,2,7,0.9466666666666668
entropy,10,10,7,0.9466666666666668
gini,1,4,4,0.6666666666666666
entropy,5,9,10,0.9533333333333334
entropy,9,6,7,0.9533333333333334
entropy,5,7,1,0.9533333333333334
entropy,8,5,7,0.9533333333333334
entropy,5,9,6,0.9533333333333334
entropy,8,6,5,0.9533333333333334
gini,9,2,6,0.9533333333333334
gini,9,8,9,0.9533333333333334
gini,1,5,4,0.6666666666666666
entropy,1,7,6,0.6666666666666666
gini,7,6,1,0.9533333333333334
entropy,10,2,5,0.9533333333333334
gini,8,6,2,0.94
entropy,9,6,4,0.9533333333333334
entropy,3,8,3,0.9533333333333334
gini,9,2,10,0.9466666666666668
entropy,9,2,5,0.96
gini,8,5,1,0.9533333333333334
entropy,10,10,2,0.94
entropy,4,7,4,0.9533333333333334
gini,6,5,1,0.9533333333333334
gini,2,8,3,0.9466666666666668
gini,9,3,1,0.9533333333333334
gini,10,2,2,0.94
entropy,9,5,8,0.9533333333333334
entropy,10,9,1,0.9533333333333334
gini,4,2,5,0.9533333333333334
entropy,10,8,4,0.9533333333333334
gini,8,8,5,0.96
entropy,8,7,3,0.9533333333333334
entropy,10,6,3,0.9533333333333334
entropy,4,7,2,0.94
entropy,4,5,10,0.9466666666666668
gini,8,4,7,0.9533333333333334
entropy,6,7,5,0.96
gini,10,8,2,0.94
entropy,7,10,6,0.9533333333333334
gini,8,2,2,0.94
entropy,9,2,4,0.9533333333333334
entropy,9,6,3,0.9533333333333334
gini,9,4,10,0.9466666666666668
gini,5,3,8,0.9533333333333334
gini,8,6,8,0.9533333333333334
entropy,9,6,2,0.94
entropy,5,10,1,0.9533333333333334
entropy,1,4,1,0.6666666666666666
gini,3,9,4,0.9533333333333334
entropy,9,6,1,0.9533333333333334
gini,10,5,6,0.9533333333333334
gini,4,3,1,0.9533333333333334
gini,4,8,10,0.9466666666666668
entropy,10,8,3,0.9533333333333334
gini,6,4,1,0.9533333333333334
entropy,6,10,2,0.94
entropy,1,6,9,0.6666666666666666
entropy,3,2,10,0.9466666666666668
entropy,7,2,9,0.9533333333333334
gini,4,5,9,0.9466666666666668
entropy,4,6,3,0.9533333333333334
gini,6,6,7,0.9466666666666668
gini,10,5,3,0.9466666666666668
entropy,4,8,3,0.9533333333333334
entropy,8,7,7,0.9533333333333334
entropy,7,2,2,0.94
gini,1,6,10,0.6666666666666666
gini,7,2,8,0.9533333333333334
entropy,7,5,10,0.9466666666666668
entropy,6,5,1,0.9533333333333334
entropy,6,2,2,0.94
entropy,6,10,7,0.9466666666666668
gini,4,10,8,0.9466666666666668
entropy,9,3,10,0.9533333333333334
entropy,9,7,1,0.9533333333333334
entropy,4,10,3,0.9533333333333334
gini,3,5,3,0.9533333333333334
